,Store#,City,Total_Sales_2015_Q1,Sales_Mean_2015_Q1,County#,Avg_PPL_2015_Q1,Zip_Code_x,Total_Liters_2015_Q1,Avg_Liters_2015_Q1,Avg_Margin_2015_Q1,Total_Sales_2015,Sales_Mean_2015,Avg_PPL_2015,Zip_Code_y,Total_Liters_2015,Avg_Liters_2015,Avg_Margin_2015
0,2106,CEDAR FALLS,337166.53,278.190206271,7.0,19.3761775106,50613,21815.55,17.9996287129,5.49381188119,1434369.85,280.973525955,18.8908536202,50613,93986.47,18.4106699314,5.41538687561
1,2113,GOWRIE,22351.86,66.7219701493,94.0,17.7652992182,50543,1604.08,4.78829850746,5.32456716418,85763.42,63.0150036738,17.6240666877,50543,6500.83,4.77650991918,5.33182953711
2,2130,WATERLOO,277764.46,298.671462366,7.0,17.6110972862,50703,16176.37,17.3939462366,5.20727956989,1108184.99,280.624206128,17.5064274259,50703,65562.88,16.6024006077,5.14764497341
3,2152,ROCKWELL,16805.11,49.4267941176,17.0,13.2748641457,50469,1414.59,4.16055882353,4.37061764706,72080.36,50.2302160279,13.0449178696,50469,6164.92,4.29611149826,4.3174912892
4,2178,WAUKON,54411.42,100.948831169,3.0,16.0529181023,52172,4376.38,8.11944341373,4.81187384045,277987.96,104.389019902,16.5996906461,52172,21719.49,8.15602328201,5.03365001878
5,2190,DES MOINES,255939.81,83.3137402344,77.0,22.8446474558,50314,14065.73,4.57868815104,5.52368489583,1228571.74,95.489797917,24.3053726783,50314,64391.65,5.00479169905,5.9619034665
6,2191,KEOKUK,319020.69,224.188819396,56.0,18.6697541293,52632,20393.82,14.3315671117,5.73431482783,1275911.76,229.274350404,18.9507939566,52632,81224.18,14.595539982,5.71006469003
7,2200,SAC CITY,45340.33,57.5384898477,81.0,16.8790403674,50583,3393.35,4.30628172589,5.73831218274,223914.99,57.6951790776,17.046682123,50583,17291.84,4.45551146612,5.82996650348
8,2205,CLARINDA,57849.23,78.4928493894,73.0,19.2200562124,51632,3765.6,5.10936227951,4.93731343284,231651.87,78.3136815416,19.416967986,51632,14919.66,5.0438336714,5.02299188641
9,2228,WINTERSET,51031.04,70.8764444444,61.0,17.1790965608,50273,4213.4,5.85194444444,4.99661111111,188879.7,67.0023767293,17.708520184,50273,15188.97,5.38807023767,5.00743171337
10,2233,SPIRIT LAKE,68657.91,118.785311419,30.0,19.4287156039,51360,5115.11,8.84967128028,5.97043252595,316855.05,125.387831421,20.375810956,51360,23620.75,9.34734863474,6.13108033241
11,2238,ALTOONA,4151.93,54.6306578947,77.0,20.9274561404,50009,225.5,2.96710526316,6.12921052632,105128.53,199.107064394,22.3876127345,50009,5771.25,10.9303977273,6.12448863636
12,2248,DES MOINES,121837.56,127.445146444,77.0,26.1750838065,50312,5604.59,5.862541841,6.82071129707,659358.37,143.276481964,27.7905401693,50312,28855.5,6.27020860495,7.22305519339
13,2285,IOWA CITY,146725.31,228.900639626,52.0,25.1734395662,52240,6818.67,10.637550702,6.8007800312,777551.65,259.703289913,26.6708760378,52240,37106.59,12.3936506346,7.22285237141
14,2290,STORM LAKE,119287.76,72.4272981178,11.0,18.7519156041,50588,8116.02,4.92775956284,5.38236187007,550217.8,68.682786169,18.9226906671,50588,36511.83,4.55771189614,5.40997128948
