,Store#,County,City,County#,Total_Sales_2016_Q1,Sales_Mean_2016_Q1,Total_Liters_2016_Q1,Avg_PPL_2016_Q1,Zip_Code,Avg_Liters_2016_Q1,Avg_Margin_2016_Q1,Predicted 2016 TotalSales
0,2106,Black Hawk,CEDAR FALLS,7.0,337804.05,274.860903173,22277.95,18.1268917819,50613,18.1082575846,5.24305939788,1443790.54367
1,2113,Webster,GOWRIE,94.0,21736.63,55.3094910941,1608.07,4.09178117048,50543,17.6292778384,5.32674300254,103822.065331
2,2130,Black Hawk,WATERLOO,7.0,306942.27,295.420856593,18172.75,17.4906159769,50703,17.0467624547,5.08378248316,1311514.56024
3,2152,Cerro Gordo,ROCKWELL,17.0,13752.24,44.7955700326,1143.52,3.72482084691,50469,14.4174980611,4.77133550489,64008.3915054
4,2178,Allamakee,WAUKON,3.0,58939.9,98.3971619366,4606.64,7.6905509182,52172,16.9488456952,5.17153589316,260925.481464
5,2190,Polk,DES MOINES,77.0,332979.03,105.707628571,16588.11,5.26606666667,50314,26.219991421,6.44266984127,1430076.97646
6,2191,Lee,KEOKUK,56.0,302592.88,203.082469799,19170.73,12.866261745,52632,18.95564845,5.72845637584,1297827.57352
7,2200,Sac,SAC CITY,81.0,55315.23,58.7834537726,4297.56,4.56701381509,50583,16.2740863317,5.77352816153,250561.060564
8,2228,Madison,WINTERSET,61.0,42398.57,63.2814477612,3492.63,5.21288059701,50273,17.9028756219,5.0248358209,188348.188434
9,2233,Dickinson,SPIRIT LAKE,30.0,56241.57,116.683755187,4333.13,8.98989626556,51360,20.547202134,6.28439834025,262051.196515
10,2238,Polk,ALTOONA,77.0,63272.07,596.906320755,3243.5,30.5990566038,50009,29.727821204,8.215,322719.430704
11,2248,Polk,DES MOINES,77.0,137416.93,138.385629406,6176.85,6.22039274924,50312,27.4955905022,6.95933534743,610580.36884
12,2285,Johnson,IOWA CITY,52.0,158700.11,270.357938671,7240.32,12.3344463373,52240,27.4625136789,7.53441226576,709494.55617
13,2290,Buena Vista,STORM LAKE,11.0,125731.51,49.7355656646,8347.23,3.30191060127,50588,18.8412549917,5.23516218354,541431.233354
14,2327,Adams,CORNING,2.0,21834.49,49.2877878104,1643.87,3.71076749436,50841,17.0246866602,5.35525959368,104357.188531
15,2353,Howard,CRESCO,45.0,76339.35,122.535072231,5998.4,9.62825040128,52136,15.3677497516,5.2767094703,336422.262581
16,2413,Dubuque,DUBUQUE,31.0,204038.87,189.8036,13122.15,12.2066511628,52001,17.9278077519,5.47635348837,878816.810499
17,2445,Pottawattamie,OAKLAND,78.0,15689.8,43.9490196078,1443.03,4.04210084034,51560,14.6191156463,4.75330532213,72146.3607217
18,2448,Warren,INDIANOLA,91.0,48545.69,49.8415708419,3182.02,3.26696098563,50125,17.2288515694,5.01936344969,213303.927108
19,2459,Guthrie,GUTHRIE CENTER,39.0,16320.74,66.0758704453,1362.32,5.51546558704,50115,14.5567399267,4.35761133603,71287.4909061
20,2460,,HAMPTON,,69206.03,87.6025696203,5430.43,6.87396202532,50441,17.0900807715,5.0422278481,302485.858506
21,2465,Dubuque,DUBUQUE,31.0,53182.55,69.0682467532,3326.1,4.31961038961,52003,22.5945553494,6.31411688312,247217.244512
22,2475,Kossuth,WEST BEND,55.0,30402.43,141.406651163,2772.77,12.8966046512,50597,15.2824097453,5.64502325581,148023.718577
23,2478,Polk,ALTOONA,77.0,47217.4,217.591705069,2404.0,11.0783410138,50009,26.5034715822,7.55101382488,238496.704536
24,2498,Fayette,ARLINGTON,33.0,6367.76,41.6193464052,555.31,3.62947712418,50606,13.9039215686,3.57464052288,20004.154621
